PanzerIV	400	100	110	200	40	1	1	1
Maus	2000	200	200	500	150	0.1	0.1	0.1
Crusader	300	75	200	100	10	2	2	1.5
Churchill	600	100	120	120	100	0.5	0.7	0.4
T34	500	80	130	100	80	0.9	1	1.1
KV1	1000	150	110	250	120	0.4	0.6	0.7
M4Sherman	600	110	100	200	90	1	1	1
PanzerIV	400	100	110	200	40	1	1	1
Maus	2000	200	200	500	150	0.1	0.1	0.1
Crusader	300	75	200	100	10	2	2	1.5
Churchill	600	100	120	120	100	0.5	0.7	0.4
T34	500	80	130	100	80	0.9	1	1.1
KV1	1000	150	110	250	120	0.4	0.6	0.7
M4Sherman	600	110	100	200	90	1	1	1
